Name,Country,Serving,Defense,Speed,Experience,Power,Skill
FAN Zhendong,CHN,4,5,5,4,5,5.5
XU Xin,CHN,4,4,4,5,4.5,5
MA Long,CHN,5,5,5,5,5,5
LIN Gaoyuan,CHN,4,3.5,5,4,3.5,4
HARIMOTO Tomokazu,JPN,4,5.5,5,3.5,4,4
CALDERANO Hugo,BRA,3.5,4,4.5,5,5,4
LIN Yun-Ju,TPE,5,4,5,4.5,3.5,4.5
FALCK Mattias,SWE,3,3.5,4,4,4,3
LIANG Jingkun,CHN,4,4.5,4.5,4,5,3.5
BOLL Timo,GER,4.5,4,4,5,4,4
JANG Woojin,KOR,4,4,4.5,4,5,4
OVTCHAROV Dimitrij,GER,5,4,4,3.5,4.5,4
JEOUNG Youngsik,KOR,4,3,4.5,4,4.5,4
WANG Chuqin,CHN,5.5,3,5,3,3.5,5
PITCHFORD Liam,ENG,3,3,4,4,3,4.5
